date,qty
2016-01,7371524
2016-02,6118500
2016-03,6829811
2016-04,7678612
2016-05,6615593
2016-06,5261834
2016-07,5528445
2016-08,5711553
2016-09,5670963
2016-10,5937992
2016-11,6014664
2016-12,5532088
2017-01,7304168
2017-02,6062682
2017-03,7035390
2017-04,5888440
2017-05,5981296
2017-06,4846083
2017-07,5230342
2017-08,5354185
2017-09,6241156
2017-10,6934184
2017-11,7192742
2017-12,6624548
2018-01,7853869
2018-02,7141789
2018-03,8160216
2018-04,7727575
2018-05,7269038
2018-06,7221515
2018-07,7346800
2018-08,7217851
2018-09,7246886
2018-10,7542001
2018-11,7683651
2018-12,7883427
2019-01,8533149
2019-02,8642527
2019-03,8643698
2019-04,7142986
2019-05,7332632
2019-06,5895307
2019-07,5705382
2019-08,6285274
2019-09,7256363
2019-10,7332507
2019-11,8427280
2019-12,7852738
2020-01,9177692
2020-02,7714833
2020-03,9500597
2020-04,7192417
2020-05,9434396
2020-06,8434269
2020-07,7678595
2020-08,6758550
2020-09,7656271
2020-10,9287201
2020-11,8792853
2020-12,8043213
2021-01,10697266
2021-02,9916471
2021-03,9453257
2021-04,9022715
2021-05,9212890
2021-06,8330837
2021-07,7142006
2021-08,6254179
2021-09,7500146
2021-10,9298437
2021-11,8320731
2021-12,8277042
2022-01,8665961
2022-02,7943381
2022-03,8445514
2022-04,6931244
2022-05,7990404
2022-06,5719993
2022-07,6196608
2022-08,6383921
2022-09,7318996
2022-10,7880818
2022-11,8127552
2022-12,9107195
2023-01,9385266
2023-02,8009837
2023-03,9721765
2023-04,9188375
2023-05,9600053
2023-06,9018337
2023-07,7578219
2023-08,7058267
2023-09,8242230
2023-10,8568906
2023-11,9557034
2023-12,8635425
2024-01,9540654
2024-02,9580227
2024-03,9674998
2024-04,9357584
2024-05,8602551
2024-06,8189314
2024-07,5987954
2024-08,6702367
2024-09,9198952
2024-10,9320804
2024-11,8369909
2024-12,9372492
2025-01,9094502
2025-02,8162032
2025-03,8303320
2025-04,8901262
2025-05,8948663
2025-06,7223827
2025-07,7403208
2025-08,7071554
2025-09,8372287
2025-10,8932352